address,amount
0x5513d576a2613b17ff8cae29184960434cbf017a,203499
0xbe8ba6a748a695e60018c31c20858e9f6a4be12c,804968
0xb8f88d989bbadf7fd0aea8200c41816941a39acf,32333
0x78b25e38ec350461fd050dec449715ba719dd54e,415960
0x833e546574375cce2ba1917fa5fdf486b7058670,319000
0xf68c81d0725e59c30e65dd4bfc2cd09269e48a65,91047
0xd13a843464aabedb967ab3637fe6bb18a5ea2c30,2000238
0xd49854a6e82ce33ebceff965711bda3881877dbb,180000
0xa1c4878a5c6cb0241a40f0f195e204b3cfded369,672768
0x4b68e24df02b2e5b629bb29974b9c5e00a361774,319369
0x00ba07865540df09e9c6728b079ccab39a804926,73096
0x82c5a0488cf44a6e52f8953586397c74c761849a,105000
0x43ddf42dc7f513ca03392cbd7c26d8b42767d4bf,233225
0x41d0837795258bdf59495d00c48ccb7ff7eedf20,320262
0x04dddde75165aa01be5ccf59532a0a114fc6952e,468461
0x36111de6964e3597b003049ff3ea14b3d1d576a8,234368
0xa54e35cdd64bda5a7d56d84deb706530dd9cb7c1,394188
0x2ea117bf64babaa41b23d413b6c110c3366e0d76,1946213
0x5753c30a4016fd9f0826e7d764a69f42aaa3743c,886789
0xce223816f7b49cf35daaf4760a59dbdfc7bb8834,506313
0x557d00045afb366c17722755c47522a1406a1c73,66666
0x2a3a81a769e756c03e749df01f50a8c51c611236,72195
0x597b8dbe5f958d12f644ea51d2e67f0476bd1d7c,40000
0x46b698a16a3e55efa80981f5aa0886f179633326,56801
0x0043940f707a912dd29c87f7dcd8121efc8dd2d4,440647
0x896426b4158c14278dea1e1e2fe13345059e848e,316874
0x4cf2a703b4c544f8a3bb11784c463c5e038000d0,442022
0xe752c72d24e9b1be94404caad0591b776013eacf,494691
0x5b42ef35e21af56360ae01481d9fd4bb3b8d26cc,303127
0xf69faa526abbe30d41ce13e30e01f314ba769fe8,1750000
0xfbd119da3f08e7be9d69e1c40475a56d2a6de0e8,1842517
0x452b2e0e7cadad7ff85d245c9f90351ddb4f7999,2000000
0xccb49dd2638276b7e8e1a17f320023b24af75da0,1642838
0x9795b560b9d70d4417419b4ea92276e84778dc9f,1522426
0xbc6830f99b7646d1899a8e6612ef1bade00623cc,1688946
0x8b6989bc63411e3fb1dce178462dfa5afdca02f1,1999895
0x89e51dce01549655317d41adb199df94a8c4f864,1697577
0x7c23fe80f8a892d9c8a5bddb5bd38fdc20d8d274,1065344
0xe4fdc719f2228de0b9894f7c5f18f4fb76d192bf,75267
0xb7ca14982f64a363a714af2d53629889665e93d2,441163
0x9abcdf2805bfe6a63b911f81a9332d7d77e802d1,547374
0xc34d9a25451dbe0e561f0d1d356d43bf3d37cce1,345012
0x53545038a89a85f39350ab76ea9bed319437874d,486781
0x249a07addfb64547af37e24ae9f09cdccb1264d6,333333
